vacancy,salary,href_link,city,worker,date
Кассир/повар в ресторан KFC,до 50 000₽,https://www.farpost.ru/artem/rabota/vacansii/kassir-povar-v-restoran-kfc-105086451.html?source=extended-feed,в Артеме,"ООО ""ГудФуд ДВ"". Улица Фрунзе 32",04.10.2023
Сотрудник ресторана KFC(кассир/повар),до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sotrudnik-restorana-kfc-kassir-povar-108235293.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд ДВ"". Все районы города",04.10.2023
Сотрудник (повар/кассир) в ресторан KFC,до 50 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/sotrudnik-povar-kassir-v-restoran-kfc-109824318.html?source=extended-feed,в Уссурийске,ООО ГудФуд ДВ. Улица Дзержинского 93б,04.10.2023
Кассир/повар (ночник) в ресторан KFC,до 50 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kassir-povar-nochnik-v-restoran-kfc-110316148.html?source=extended-feed,в Уссурийске,"ООО ""ГудФуд ДВ"". Улица Краснознаменная 174",04.10.2023
Повар выходного дня,от 18 240₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/povar-vyhodnogo-dnja-111839250.html?source=extended-feed,в Уссурийске,ООО ГудФуд ДВ. Улица Краснознаменная 174,04.10.2023
Менеджер ресторана,до 49 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/menedzher-restorana-42271361.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд""",04.10.2023
Менеджер итальянского ресторана IL Патио,57 500₽,https://www.farpost.ru/vladivostok/rabota/vacansii/menedzher-italjanskogo-restorana-il-patio-99363713.html?source=extended-feed,во Владивостоке,"ООО""Фортуна"". Улица Калинина 8",04.10.2023
Кассир/повар (ночник) в ресторан KFC,до 50 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kassir-povar-nochnik-v-restoran-kfc-111617130.html?source=extended-feed,в Уссурийске,"ООО ""ГудФуд ДВ"". Улица Дзержинского 93б",04.10.2023
Менеджер ресторана,до 49 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/menedzher-restorana-112288560.html?source=extended-feed,в Уссурийске,"ООО ""ГудФуд""",04.10.2023
Менеджер ресторана KFC в ТЦ Стрелка,до 49 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/menedzher-restorana-kfc-v-tc-strelka-112333595.html?source=extended-feed,в Хабаровске,ООО ГудФуд ДВ. Улица Карла Маркса 202,04.10.2023
Мойщик посуды в день,до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/mojshik-posudy-v-den-70062947.html?source=extended-feed,во Владивостоке,"ООО ""Фортуна"". Улица Калинина 8",04.10.2023
"Повар/кассир в ресторан KFC, район Ж/Д",до 50 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/povar-kassir-v-restoran-kfc-rajon-zh-d-75795383.html?source=extended-feed,в Хабаровске,"ООО ""ГудФуд Ресторантс"". Улица Ленинградская 81",04.10.2023
Кассир/повар в ресторан KFC ТЦ Броско Молл,до 50 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kassir-povar-v-restoran-kfc-tc-brosko-moll-94777496.html?source=extended-feed,в Хабаровске,"ООО ""ГудФуд Ресторантс"". Улица Пионерская 2в",04.10.2023
Повар в итальянский ресторан IL Патио БЕЗ ОПЫТА,70 000 – 114 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-v-italjanskij-restoran-il-patio-bez-opyta-95546432.html?source=extended-feed,во Владивостоке,"ООО ""Фортуна"". Улица Калинина 8",04.10.2023
Ночной уборщик в ресторан KFC район Ж/Д,до 50 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/nochnoj-uborshik-v-restoran-kfc-rajon-zh-d-104014239.html?source=extended-feed,в Хабаровске,"ООО ""ГудФуд ресторантс"". Улица Ленинградская 81",04.10.2023
Официант в Итальянский ресторан IL Патио на вечернее время и выходные дни,от 25 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/oficiant-v-italjanskij-restoran-il-patio-na-vechernee-vremja-i-vyhodnye-dni-110724279.html?source=extended-feed,во Владивостоке,ООО Фортуна. Улица Калинина 8,04.10.2023
Сборщик заказов,41 000 – 66 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/sborshik-zakazov-112095207.html?source=extended-feed,в Находке,ООО ГудФуд ДВ,04.10.2023
Кухонный работник,до 50 000₽,https://www.farpost.ru/artem/rabota/vacansii/kuhonnyj-rabotnik-112095677.html?source=extended-feed,в Артеме,ООО ГудФуд ДВ. Улица Фрунзе 32,04.10.2023
Сборщик заказов,до 50 000₽,https://www.farpost.ru/artem/rabota/vacansii/sborshik-zakazov-112095777.html?source=extended-feed,в Артеме,ООО ГудФуд ДВ. Улица Фрунзе 32а,04.10.2023
Кассир в команду DAB,от 36 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kassir-v-komandu-dab-84432154.html?source=extended-feed,во Владивостоке,"ООО ""Бургер Проджект"". Улица Калинина 8",04.10.2023
"Кассир/повар в сеть ресторанов KFC, ул Муравьева-Амурского,7",до 50 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kassir-povar-v-set-restoranov-kfc-ul-muravjeva-amurskogo-7-108475209.html?source=extended-feed,в Хабаровске,"ООО ""ГудФуд Ресторантс"". Улица Муравьёва-Амурского 7",04.10.2023
"Мойщик, уборщик (ночник) в ресторан KFC",до 50 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/mojshik-uborshik-nochnik-v-restoran-kfc-111617020.html?source=extended-feed,в Уссурийске,"ООО ""ГудФуд ДВ"". Улица Краснознаменная 174",04.10.2023
Грузчик-разнорабочий без опыта в новый склад,54 000₽,https://www.farpost.ru/nadezhdinskii-r-n/rabota/vacansii/gruzchik-raznorabochij-bez-opyta-v-novyj-sklad-112120388.html?source=extended-feed,в Надеждинском районе,"ООО ГудФуд ДВ. Весенняя, улица Шоссейная 2-я 8",04.10.2023
Грузчик-разнорабочий без опыта в новый склад (с развозом на работу и домой!),54 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/gruzchik-raznorabochij-bez-opyta-v-novyj-sklad-s-razvozom-na-rabotu-i-domoj-112246732.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд Лоджистикс"". Улица Шоссейная 2-я 8",04.10.2023
"Мойщик, уборщик в ресторан (ночной сотрудник)",до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/mojshik-uborshik-v-restoran-nochnoj-sotrudnik-112559481.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд ДВ"". Улица Гоголя 39а",04.10.2023
Водитель электроштабелёра,60 000 – 66 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/voditel-elektroshtabelera-98948274.html?source=extended-feed,во Владивостоке,"ООО""ГудФуд Лоджистикс"". Улица Шоссейная 2-я 8",04.10.2023
Кладовщик-комплектовщик на склад район Весенняя,71 200₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kladovshik-komplektovshik-na-sklad-rajon-vesennjaja-98948649.html?source=extended-feed,во Владивостоке,"ООО""ГудФуд Лоджистикс"". Улица Шоссейная 2-я 8",04.10.2023
Кладовщик-комплектовщик на склад район Весенняя,71 200₽,https://www.farpost.ru/artem/rabota/vacansii/kladovshik-komplektovshik-na-sklad-rajon-vesennjaja-99054200.html?source=extended-feed,в Артеме,"ООО""ГудФуд Лоджистикс""",04.10.2023
Грузчик-разнорабочий без опыта в новый склад,54 000₽,https://www.farpost.ru/artem/rabota/vacansii/gruzchik-raznorabochij-bez-opyta-v-novyj-sklad-101867978.html?source=extended-feed,в Артеме,"ООО ""ГудФуд Лоджистикс"". Улица Шоссейная 2-я 8",04.10.2023
Специалист отдела кадров,57 400 – 63 793₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/specialist-otdela-kadrov-105275931.html?source=extended-feed,в Хабаровске,"ООО ""ГудФуд ДВ"". Улица Ким Ю Чена 44",04.10.2023
"Мойщик, уборщик (ночник) в ресторан KFC",до 50 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/mojshik-uborshik-nochnik-v-restoran-kfc-111617082.html?source=extended-feed,в Уссурийске,"ООО ""ГудФуд ДВ"". Улица Дзержинского 93б",04.10.2023
Диспетчер на склад район Весенняя,68 000₽,https://www.farpost.ru/artem/rabota/vacansii/dispetcher-na-sklad-rajon-vesennjaja-112409684.html?source=extended-feed,в Артеме,"ООО ""ГудФуд Лоджистикс"". Улица Шоссейная 2-я 8",04.10.2023
"Официант в крутую команду бургерной - бара ""DAB""",58 000 – 69 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/oficiant-v-krutuju-komandu-burgernoj-bara-dab-84156754.html?source=extended-feed,во Владивостоке,"ООО ""Бургер проджект"". Улица Калинина 8",04.10.2023
Бармен - бариста в ресторан Хлопок,от 54 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/barmen-barista-v-restoran-hlopok-102809560.html?source=extended-feed,во Владивостоке,"ООО ""Общепит Калина"". Улица Калинина 8",04.10.2023
Администратор зала - Хостес в ресторан Хлопок,от 39 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/administrator-zala-hostes-v-restoran-hlopok-102826646.html?source=extended-feed,во Владивостоке,"ООО ""Общепит Калина"". Улица Калинина 8",04.10.2023
Техник(Специалист АХО) на склад,41 900₽,https://www.farpost.ru/vladivostok/rabota/vacansii/tehnik-specialist-aho-na-sklad-105130367.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд Лоджистикс"". Улица Шоссейная 2-я 8в",04.10.2023
Сеть ресторанов KFC ищет в команду Кассира/Повара,41 000 – 66 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/set-restoranov-kfc-ishet-v-komandu-kassira-povara-105712860.html?source=extended-feed,в Находке,"ООО ""ГудФуд ДВ"". Проспект Мира 1к",04.10.2023
"Мойщик, уборщик в ресторан (ночной сотрудник)",до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/mojshik-uborshik-v-restoran-nochnoj-sotrudnik-113010753.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд ДВ"". Проспект Народный 20",04.10.2023
