Job Title,Salary,Link,City,Scrape Time
Кладовщик (бухгалтер тмц),от 50 000 ₽,https://www.avito.ru/raevskaya/vakansii/kladovschik_buhgalter_tmts_2354277056,"Краснодарский край, муниципальное образование Новороссийск, станица Раевская",28.09.2023
Повар в Гипермаркет,36 000 — 50 000 ₽,https://www.avito.ru/novomoskovsk/vakansii/povar_v_gipermarket_3392790453,"Тульская область, Новомосковск",28.09.2023
Продавец кассир,до 45 000 ₽,https://www.avito.ru/tyumen/vakansii/prodavets_kassir_3428189660,"Тюменская область, Тюмень",28.09.2023
Повар в Гипермаркет,50 100 — 71 300 ₽,https://www.avito.ru/murmansk/vakansii/povar_v_gipermarket_3393454049,"Мурманская область, Мурманск",28.09.2023
Повар в Гипермаркет,36 400 — 50 244 ₽,https://www.avito.ru/kstovo/vakansii/povar_v_gipermarket_3361541724,"Нижегородская область, Кстово",28.09.2023
Повар без опыта,до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/povar_bez_opyta_3460361012,"Свердловская область, Екатеринбург",28.09.2023
Сотрудник ночной уборки,до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/sotrudnik_nochnoy_uborki_3459725136,"Свердловская область, Екатеринбург",28.09.2023
Подработка. Без опыта,до 38 000 ₽,https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/podrabotka._bez_opyta_3364126815,"Кировская область, Киров",28.09.2023
"Кухонный работник, мойщица, уборщица",от 1 900 ₽ за смену,https://www.avito.ru/perm/vakansii/kuhonnyy_rabotnik_moyschitsa_uborschitsa_2244763769,"Пермский край, Пермь",28.09.2023
Сборщик заказов (аптечный склад),60 000 — 70 000 ₽,https://www.avito.ru/sankt-peterburg/vakansii/sborschik_zakazov_aptechnyy_sklad_3317724597,Санкт-Петербург,28.09.2023
Сотрудник ресторана KFC (Кулакова - север),до 37 000 ₽,https://www.avito.ru/stavropol/vakansii/sotrudnik_restorana_kfc_kulakova_-_sever_3275244603,"Ставропольский край, Ставрополь",28.09.2023
Пиццамейкер без опыта / Подработка / Повар,32 000 — 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/pitstsameyker_bez_opyta_podrabotka_povar_3428996793,"Свердловская область, Екатеринбург",28.09.2023
