id,name,description
79217533,Наладчик производственной линии,"<p>Компания Гипфель - это ультрасовременный завод по производству булочек для бургеров. Основной поставщик булочек Burger King. Уникальное производственное оборудование, расширяемые мощности и максимальная автоматизация труда позволяют нам с уверенностью смотреть вперед и претендовать на лидирующие позиции.</p> <p>Мы приглашаем в нашу команду Наладчика производственной линии.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Выполнение в установленные сроки производственных заданий по объему производства продукции, планируемому ассортименту.</p> </li> <li> <p>Обеспечение соблюдения технологического процесса.</p> </li> <li> <p>Настройка и обеспечение безаварийной и надежной работы оборудования.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Среднее-специальное образование (техническое).</p> </li> <li> <p>Базовые знания ПК.</p> </li> <li> <p>Обучаемость и желание обучаться.</p> </li> <li> <p>Ответственность, доброжелательность, умение работать в команде.</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>Интересная работа на ультрасовременном производстве в команде профессионалов, любящих свое дело.</p> </li> <li> <p>Возможность получить престижную и востребованную профессию.</p> </li> <li> <p>Реальная возможность карьерного роста до руководящих позиций.</p> </li> <li> <p>Бронь при мобилизации.</p> </li> <li> <p>Оформление по ТК РФ, &quot;белая&quot; заработная плата, полное соблюдение всех социальных гарантий.</p> </li> <li> <p>ДМС(включая стоматологию) после 6 месяцев работы.</p> </li> <li> <p>Вкусные бесплатные обеды.</p> </li> <li> <p>Общежитие иногородним.</p> </li> <li> <p>График 2/1/2/3 с 8.00 до 20.00 (дневные и ночные смены).</p> </li> <li> <p><strong>Место работы: Московская Область, Технопарк &quot;Сынково&quot; (20 км. от МКАД по Симферопольскому шоссе). </strong></p> </li> <li> <p><strong>Корпоративный транспорт от Подольска (Силикатная, Площадь Ленина, станция Гривно).</strong></p> </li> </ul>"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
